s1, 70, 60, 50
s2, 60, 60, 70
s3, 90, 60, 50 
c0, 11, 18,  13, 0
c1, 3, 18,  36, 0
c2, 29, 18,  25, 0
c3, 28, 18,  17, 0
c4, 16, 18,  25, 0
c5, 37, 18,  -1, 0
c6, 11, 18,  36, 0
c7, 40, 18,  38, 0
c8, 22, 18,  3, 0
c9, 2, 18,  38, 0
c10, 2, 18,  11, 0
c11, 20, 18,  16, 0
c12, 15, 18,  25, 0
c13, -2, 18,  22, 0
c14, 33, 18,  34, 0
c15, 10, 18,  5, 0
c16, 36, 18,  7, 0
c17, 4, 18,  6, 0
c18, 25, 18,  19, 0
c19, 14, 18,  29, 0
c20, 17, 18,  36, 1
c21, 37, 18,  24, 1
c22, 32, 18,  29, 1
c23, 16, 18,  9, 1
c24, 38, 18,  6, 1
c25, 26, 18,  29, 1
c26, 28, 18,  1, 1
c27, 24, 18,  21, 1
c28, 34, 18,  4, 1
c29, 20, 18,  21, 1
c30, -3, 18,  21, 1
c31, -2, 18,  17, 1
c32, 31, 18,  12, 1
c33, 18, 18,  23, 1
c34, 29, 18,  24, 1
c35, 30, 18,  15, 1
c36, 32, 18,  3, 1
c37, 36, 18,  -4, 1
c38, 3, 18,  40, 1
c39, 3, 18,  34, 1
c40, 7, 18,  12, 2
c41, 33, 18,  23, 2
c42, 29, 18,  37, 2
c43, 32, 18,  29, 2
c44, 40, 18,  22, 2
c45, 3, 18,  17, 2
c46, 11, 18,  31, 2
c47, 10, 18,  24, 2
c48, 39, 18,  27, 2
c49, 16, 18,  10, 2
c50, 5, 18,  33, 2
c51, 4, 18,  15, 2
c52, 9, 18,  32, 2
c53, -4, 18,  25, 2
c54, 31, 18,  31, 2
c55, 5, 18,  11, 2
c56, 32, 18,  36, 2
c57, 31, 18,  5, 2
c58, -2, 18,  27, 2
c59, 40, 18,  25, 2
c60, 13, 18,  9, 3
c61, 6, 18,  14, 3
c62, 30, 18,  26, 3
c63, 2, 18,  26, 3
c64, 10, 18,  25, 3
c65, 9, 18,  25, 3
c66, 38, 18,  16, 3
c67, 17, 18,  2, 3
c68, 28, 18,  -1, 3
c69, 7, 18,  39, 3
c70, 12, 18,  20, 3
c71, 8, 18,  29, 3
c72, 33, 18,  37, 3
c73, 17, 18,  40, 3
c74, 31, 18,  14, 3
c75, 15, 18,  36, 3
c76, 0, 18,  33, 3
c77, 19, 18,  11, 3
c78, 17, 18,  27, 3
c79, 39, 18,  31, 3
c80, 39, 18,  8, 4
c81, -4, 18,  36, 4
c82, 39, 18,  -2, 4
c83, 4, 18,  -2, 4
c84, -4, 18,  8, 4
c85, 0, 18,  19, 4
c86, 24, 18,  6, 4
c87, 30, 18,  26, 4
c88, 2, 18,  13, 4
c89, 5, 18,  9, 4
c90, 23, 18,  23, 4
c91, 15, 18,  24, 4
c92, 28, 18,  14, 4
c93, 30, 18,  20, 4
c94, 11, 18,  21, 4
c95, 16, 18,  0, 4
c96, 19, 18,  35, 4
c97, 17, 18,  29, 4
c98, 16, 18,  13, 4
c99, 30, 18,  8, 4
s4, 95, 82,  81
c100, 40, 18,  -3, 5
c101, 23, 18,  29, 5
c102, 28, 18,  14, 5
c103, 36, 18,  32, 5
c104, 33, 18,  2, 5
c105, -1, 18,  -1, 5
c106, 30, 18,  30, 5
c107, 5, 18,  27, 5
c108, 12, 18,  35, 5
c109, 28, 18,  0, 5
c110, 2, 18,  7, 5
c111, 19, 18,  7, 5
c112, 8, 18,  11, 5
c113, 21, 18,  15, 5
c114, 7, 18,  15, 5
c115, 5, 18,  21, 5
c116, 7, 18,  31, 5
c117, 12, 18,  25, 5
c118, -2, 18,  19, 5
c119, 13, 18,  21, 5
c120, 30, 18,  23, 6
c121, 30, 18,  9, 6
c122, 20, 18,  24, 6
c123, 37, 18,  29, 6
c124, 32, 18,  3, 6
c125, 0, 18,  17, 6
c126, 32, 18,  22, 6
c127, 30, 18,  4, 6
c128, 24, 18,  3, 6
c129, 8, 18,  5, 6
c130, 1, 18,  22, 6
c131, 14, 18,  36, 6
c132, 2, 18,  13, 6
c133, 9, 18,  29, 6
c134, 20, 18,  14, 6
c135, 16, 18,  7, 6
c136, 24, 18,  12, 6
c137, 23, 18,  -4, 6
c138, 32, 18,  37, 6
c139, 19, 18,  17, 6
c140, 38, 18,  19, 7
c141, 22, 18,  4, 7
c142, 38, 18,  -2, 7
c143, 7, 18,  37, 7
c144, 1, 18,  20, 7
c145, 9, 18,  4, 7
c146, 40, 18,  0, 7
c147, 4, 18,  9, 7
c148, 39, 18,  6, 7
c149, 17, 18,  25, 7
c150, 27, 18,  21, 7
c151, 23, 18,  39, 7
c152, 30, 18,  26, 7
c153, 35, 18,  -2, 7
c154, 34, 18,  7, 7
c155, 5, 18,  3, 7
c156, 6, 18,  29, 7
c157, 6, 18,  6, 7
c158, 8, 18,  3, 7
c159, 35, 18,  31, 7
